agencyId,color,description,routeId,longName,shortName,textColor,type,url
88,,Bcas. de Belgrano - Don Bosco y Paraná x Rotonda San Justo: a Don Bosco y Paraná x Rotonda San Justo,88_428,JNAMBA055,55B,,3,
88,,Bcas. de Belgrano - Don Bosco y Paraná x Rotonda San Justo: a Bcas. de Belgrano,88_429,JNAMBA055,55B,,3,
88,,Expreso - Pra. Junta - San Justo: Expreso - San Justo,88_430,JNAMBA055,55C,,3,
88,,Expreso - Pra. Junta - San Justo: Expreso - Pra. Junta,88_431,JNAMBA055,55C,,3,
88,,Bcas. de Belgrano - Don Bosco y Paraná x San Justo: a Don Bosco y Paraná x San Justo,88_639,JNAMBA055,55A,,3,
88,,Bcas. de Belgrano - Don Bosco y Paraná x San Justo: a Bcas. de Belgrano,88_640,JNAMBA055,55A,,3,
89,,Ramal A - Retiro - Bº 9 de Abril: Ramal A - Retiro,89_1357,JNAMBA092,92A,,3,
89,,Ramal A - Retiro - Bº 9 de Abril: a B° 9 de Abril,89_1356,JNAMBA092,92A,,3,
89,,Ramal B - Retiro - Pte. 12: a Puente 12,89_392,JNAMBA092,92B,,3,
89,,Ramal B - Retiro - Pte. 12: Ramal B - Retiro,89_393,JNAMBA092,92B,,3,
89,,C-Expreso - Retiro - Av. Eva Perón y Av. Gral. Paz: Expreso - Eva Perón y Gral. Paz,89_394,JNAMBA092,92C,,3,
89,,C-Expreso - Retiro - Av. Eva Perón y Av. Gral. Paz: Expreso - Retiro,89_395,JNAMBA092,92C,,3,
89,,D-Expreso - Pza. Flores - Bº 9 de Abril: D-Expreso - Pza. Flores,89_1611,JNAMBA092,92D,,3,
89,,D-Expreso - Pza. Flores - Bº 9 de Abril: a B° 9 de Abril,89_1610,JNAMBA092,92D,,3,
110,,Estación Chacarita - Estación Lanús: Est. Lanus,110_1919,JNAMBA119,119A,,3,
110,,Estación Chacarita - Estación Lanús: Centro Transbordo Chacarita,110_1918,JNAMBA119,119A,,3,
110,,Ramal 4 - San Francisco Solano - Est. Adrogue: Ramal 4 - Est. Adrogue,110_1619,JMALBR505,505R4,,3,
110,,Ramal 3 - San Francisco Solano - Est. Burzaco x Vasco Nuñez de Balboa: Ramal 3 - San Francisco Solano,110_1618,JMALBR505,505R3,,3,
110,,Ramal 3 - San Francisco Solano - Est. Burzaco x Vasco Nuñez de Balboa: Ramal 3 - Est. Burzaco x Vasco Nuñez de Balboa,110_1617,JMALBR505,505R3,,3,
110,,Ramal 2 - Est. Glew - Bº Gendarmería: Ramal 2 - B° Gendarmerí­a,110_1627,JMALBR506,506R2,,3,
110,,Ramal 1 - Est. Glew - Tapin y Larreta: Ramal 1 - Est. Glew,110_1626,JMALBR506,506R1,,3,
110,,Ramal 1 - Est. Glew - Tapin y Larreta: Ramal 1 - Tapin y Larreta,110_1625,JMALBR506,506R1,,3,
110,,Ramal 6 - San Francisco Solano - Est. Claypole: Ramal 6 - San Francisco Solano,110_1624,JMALBR505,505R6,,3,
110,,Ramal 6 - San Francisco Solano - Est. Claypole: Ramal 6 - Est. Claypole,110_1623,JMALBR505,505R6,,3,
110,,Ramal 5 - San Francisco Solano - Est. Burzacox Leroux: Ramal 5 - San Francisco Solano,110_1622,JMALBR505,505R5,,3,
110,,Ramal 5 - San Francisco Solano - Est. Burzacox Leroux: Ramal 5 - Est. Burzacox Leroux,110_1621,JMALBR505,505R5,,3,
110,,Ramal 4 - San Francisco Solano - Est. Adrogue: Ramal 4 - San Francisco Solano,110_1620,JMALBR505,505R4,,3,
110,,Ramal 3 - Est. Glew - Donato Alvarez y Garay - Bº San José x Bynnon: R3 - D.Alvarez y Garay - B° San José x Bynnon,110_1629,JMALBR506,506R3,,3,
110,,Ramal 2 - Est. Glew - Bº Gendarmería: Ramal 2 - Est. Glew,110_1628,JMALBR506,506R2,,3,
110,,Ramal 6 - Est. Adrogue - Donato Alvarez y Garay - Barro San José: Ramal 6 - Est. Adrogue,110_1636,JMALBR506,506R6,,3,
110,,Ramal 6 - Est. Adrogue - Donato Alvarez y Garay - Barro San José: Ramal 6 - Donato Alvarez y Garay - Barro San José,110_1635,JMALBR506,506R6,,3,
110,,Ramal 5 - Est. Adrogue - Est. Claypole: Ramal 5 - Est. Adrogue,110_1634,JMALBR506,506R5,,3,
110,,Ramal 5 - Est. Adrogue - Est. Claypole: Ramal 5 - Est. Claypole,110_1633,JMALBR506,506R5,,3,
110,,Ramal 4 - Est. Glew - Donato Alvarez y Garay - Bº San José x Htal. Oñativa: Ramal 4 - Est. Glew,110_1632,JMALBR506,506R4,,3,
110,,Ramal 4 - Est. Glew - Donato Alvarez y Garay - Bº San José x Htal. Oñativa: R4 - D.Alvarez y Garay-B° San José x Htal.Oñativa,110_1631,JMALBR506,506R4,,3,
110,,Ramal 3 - Est. Glew - Donato Alvarez y Garay - Bº San José x Bynnon: Ramal 3 - Est. Glew,110_1630,JMALBR506,506R3,,3,
115,,Est. Morón - Colectora Pta. 2 Ford: a Colectora Pta. 2 Ford,115_236,JPBSAS303,303A,,3,
115,,Est. Morón - Colectora Pta. 2 Ford: a Est. Morón,115_237,JPBSAS303,303A,,3,
115,,Est. Morón - Est. Martin Coronado: a Est. Morón,115_241,JPBSAS320,320A,,3,
115,,Est. Morón - Est. Martin Coronado: a Est. Martin Coronado,115_240,JPBSAS320,320A,,3,
115,,Est. Morón - Reconquista y Gral. Paz: a Est. Morón,115_243,JPBSAS390,390A,,3,
115,,Est. Morón - Reconquista y Gral. Paz: a Reconquista y Gral. Paz,115_242,JPBSAS390,390A,,3,
115,,Ramal A - x Bonorino: Ramal A - x Bonorino - VUELTA,115_245,JPBSAS461,461A,,3,
115,,Ramal A - x Bonorino: Ramal A - x Bonorino - IDA,115_244,JPBSAS461,461A,,3,
115,,Troncal: Troncal - VUELTA,115_247,JPBSAS461,461B,,3,
115,,Troncal: Troncal - IDA,115_246,JPBSAS461,461B,,3,
115,,Est. Morón - Uspallata y Necochea: a Est. Morón,115_249,JPBSAS462,462A,,3,
115,,Est. Morón - Uspallata y Necochea: a Uspallata y Necochea,115_248,JPBSAS462,462A,,3,
115,,Bº Destino: a B° Destino - IDA,115_250,JPBSAS463,463A,,3,
115,,Acassuso: a Acassuso - IDA,115_252,JPBSAS463,463B,,3,
115,,Bº Destino: a B° Destino - VUELTA,115_251,JPBSAS463,463A,,3,
115,,x Juramento: x Juramento - IDA,115_254,JPBSAS463,463C,,3,
115,,Acassuso: a Acassuso - VUELTA,115_253,JPBSAS463,463B,,3,
115,,x Ruben Dario: x Ruben Dario - IDA,115_256,JPBSAS463,463D,,3,
115,,x Juramento: x Juramento - VUELTA,115_255,JPBSAS463,463C,,3,
115,,Ramal x Cinturon Ecologico: Ramal x Cinturon Ecologico - IDA,115_258,JPBSAS464,464A,,3,
115,,x Ruben Dario: x Ruben Dario - VUELTA,115_257,JPBSAS463,463D,,3,
115,,Ramal x Cinturon Ecologico: Ramal x Cinturon Ecologico - VUELTA,115_259,JPBSAS464,464A,,3,
115,,Troncal x Martin Fierro: Troncal x Martin Fierro - VUELTA,115_263,JPBSAS464,464B,,3,
115,,Troncal x Martin Fierro: Troncal x Martin Fierro - IDA,115_262,JPBSAS464,464B,,3,
115,,Ramalizacion x San Damian: Ramalizacion x San Damian - VUELTA,115_265,JPBSAS464,464C,,3,
115,,Ramalizacion x San Damian: Ramalizacion x San Damian - IDA,115_264,JPBSAS464,464C,,3,
115,,Ramal D - Felix Frias: Ramal D - Felix Frias - VUELTA,115_267,JPBSAS464,464D,,3,
115,,Ramal D - Felix Frias: Ramal D - Felix Frias - IDA,115_266,JPBSAS464,464D,,3,
115,,Villa Club x Fca. Scholnik - Est. Morón - Granaderos y Vergara: a Granaderos y Vergara-Villa Club x Fca. Scholnik,115_270,JPBSAS443A,443ABA,,3,
115,,Morón - Ruben Dario: a Ruben Dario,115_272,JPBSAS443A,443ABC,,3,
115,,Ramal 2 - Est. Morón x Bº El Libertador: Ramal 2 - Est. Morón x B° El Libertador - IDA,115_271,JPBSAS443A,443ABB,,3,
115,,Est. Morón x Bº Gaona: Est. Morón x B° Gaona - IDA,115_273,JPBSAS443A,443ABD,,3,
115,,Est. Moreno - Reconquista y Gral.. Paz: a Reconquista y Gral.. Paz,115_1248,JPBSAS302,302C,,3,
115,,Est. Moreno - Est. Morón: a Est. Moreno,115_1247,JPBSAS302,302B,,3,
115,,Est. Moreno - Est. Morón: a Est. Morón,115_1246,JPBSAS302,302B,,3,
115,,Est. Moreno - Reconquista y Gral. Paz: a Est. Moreno,115_1245,JPBSAS302,302A,,3,
115,,Est. Moreno - Reconquista y Gral. Paz: a Reconquista y Gral. Paz,115_1244,JPBSAS302,302A,,3,
115,,Est. Moreno - Reconquista y Gral.. Paz: a Est. Moreno,115_1249,JPBSAS302,302C,,3,
115,,Est. Morón - Lavalle: a Est. Morón,115_1255,JPBSAS244,244C,,3,
115,,Est. Morón - Lavalle: a Lavalle,115_1254,JPBSAS244,244C,,3,
115,,Est. Morón - Buen Ayre y Panamericana: a Est. Morón,115_1253,JPBSAS244,244B,,3,
115,,Est. Morón - Buen Ayre y Panamericana: a Buen Ayre y Panamericana,115_1252,JPBSAS244,244B,,3,
115,,Est. Morón - Ruta 202 y Panamericana: a Est. Morón,115_1251,JPBSAS244,244A,,3,
115,,Est. Morón - Ruta 202 y Panamericana: a Ruta 202 y Panamericana,115_1250,JPBSAS244,244A,,3,
116,,Ramal A: Ramal A - VUELTA,116_1959,JMLDZM532,532A,,3,
116,,Ramal A: Ramal A - IDA,116_1958,JMLDZM532,532A,,3,
116,,Ramal C: Ramal C - VUELTA,116_1962,JMLDZM532,532C,,3,
116,,Ramal C: Ramal C - IDA,116_1961,JMLDZM532,532C,,3,
116,,Ramal B: Ramal B - IDA,116_1960,JMLDZM532,532B,,3,
116,,Ramal D: Ramal D - VUELTA,116_1964,JMLDZM532,532D,,3,
116,,Ramal D: Ramal D - IDA,116_1963,JMLDZM532,532D,,3,
90,,Ramal A - Munro - Avellaneda: a Avellaneda,90_657,JNAMBA093,93A,,3,
90,,Ramal A - Munro - Avellaneda: Ramal A - Munro,90_658,JNAMBA093,93A,,3,
90,,Ramal B - Munro x Eduardo Sivori - Avellaneda: a Avellaneda,90_659,JNAMBA093,93B,,3,
90,,Ramal B - Munro x Eduardo Sivori - Avellaneda: Ramal B - Munro x Eduardo Sivori,90_660,JNAMBA093,93B,,3,
90,,Ramal C - Coghlan - Avellaneda: a Avellaneda,90_661,JNAMBA093,93C,,3,
90,,Ramal C - Coghlan - Avellaneda: Ramal C - Coghlan,90_662,JNAMBA093,93C,,3,
117,,Ramal D - Paraje La Armonia: Ramal D - Paraje La Armonia - VUELTA,117_1209,JPBSAS307,307DA,,3,
117,,Ramal D - Paraje La Armonia: Ramal D - Paraje La Armonia - IDA,117_1208,JPBSAS307,307DA,,3,
117,,Ramal A - El Carmen: Ramal A - El Carmen - IDA,117_1207,JPBSAS307,307A2,,3,
117,,Ramal F: Ramal F - VUELTA,117_1213,JPBSAS307,307F,,3,
117,,Ramal F: Ramal F - IDA,117_1212,JPBSAS307,307F,,3,
91,,Est. Lomas de Zamora - Av. Santa Catalina y Neptuno: a Est. LOMAS DE ZAMORA,91_1801,JPBSAS243,243A,,3,
91,,Est. Lomas de Zamora - Av. Santa Catalina y Neptuno: a Av.SANTA CATALINA y NEPTUNO,91_1800,JPBSAS243,243A,,3,
92,,Chacarita - El Palomar: a El Palomar,92_705,JNAMBA123,123A,,3,
92,,Chacarita - El Palomar: a Chacarita,92_706,JNAMBA123,123A,,3,
93,,Lomas del Mirador - Correo Central: a Lomas del Mirador,93_1037,JNAMBA004,4A,,3,
93,,Lomas del Mirador - Correo Central: a Correo Central,93_1036,JNAMBA004,4A,,3,
93,,Lomas del Mirador - Darsena Sur: a Lomas del Mirador,93_1053,JNAMBA004,4B,,3,
93,,Lomas del Mirador - Darsena Sur: a Darsena Sur,93_1052,JNAMBA004,4B,,3,
93,,Central Costanera: a Central Costanera - VUELTA,93_1063,JNAMBA004,4C,,3,
93,,Central Costanera: a Central Costanera - IDA,93_1062,JNAMBA004,4C,,3,
516,,Pza. Italia - Mercado Central: a Pza. Italia,516_1951,JNAMBA145,145C,,3,
516,,Pza. Italia - Mercado Central: a Villa Celina,516_1950,JNAMBA145,145C,,3,
516,,Pza. Italia x Bº Gral. Savio - Villa Albertina: a Pza. Italia x B° Gral. Savio,516_1949,JNAMBA145,145B,,3,
516,,Pza. Italia x Bº Gral. Savio - Villa Albertina: a Villa Albertina,516_1948,JNAMBA145,145B,,3,
516,,Pza. Italia - Villa Albertina: a Pza. Italia,516_1947,JNAMBA145,145A,,3,
516,,Pza. Italia - Villa Albertina: a Villa Albertina,516_1946,JNAMBA145,145A,,3,
95,,Rotonda de Acasusso - Bº Aviación: a Est. VIRREyES / B° AVIACION,95_156,JPBSAS371,371K,,3,
95,,Rotonda de Acasusso - Bº Aviación: a VIRREyES ACASSUSO,95_157,JPBSAS371,371K,,3,
95,,Rotonda de Acasusso - Boulogno x Fate: a Est. VIRREyES / BOULOGNE x FATE,95_158,JPBSAS371,371L,,3,
95,,Rotonda de Acasusso - Boulogno x Fate: a VIRREyES x FATE / ACASSUSO,95_159,JPBSAS371,371L,,3,
95,,Rotonda de Acasusso - Boulogne x Calle 8: a Est. VIRREyES / BOULOGNE x Calle 8,95_160,JPBSAS371,371M,,3,
95,,Rotonda de Acasusso - Boulogne x Calle 8: a VIRREyES x Calle 8 / ACASSUSO,95_161,JPBSAS371,371M,,3,
95,,Rotonda de Acasusso - Don Torcuato - Pte. Melo: a Est. TORCUATO / Panamericana PTE. MELO,95_162,JPBSAS371,371N,,3,
95,,Rotonda de Acasusso - Don Torcuato - Pte. Melo: a Est. TORCUATO / VIRREyES ACASSUSO,95_163,JPBSAS371,371N,,3,
95,,Est. Virreyes - Bº Aviación: a B° AVIACION,95_43,JPBSAS371,371A,,3,
